audio_file_name,start_time,end_time,emotion_by_HuBERT,emotion_by_openAI
Large_audio_file.m4a,187.9,194.4,Neutral,Neutral
Large_audio_file.m4a,195.1,196.2,Anger,Error
Large_audio_file.m4a,196.3,197.6,Neutral,Neutral
Large_audio_file.m4a,197.8,199.0,Disgust,Neutral
Large_audio_file.m4a,199.2,202.3,Anger,Neutral
Large_audio_file.m4a,202.9,203.6,Neutral,Neutral
Large_audio_file.m4a,205.1,206.4,Anger,Neutral
Large_audio_file.m4a,206.5,209.7,Joy,Neutral
Large_audio_file.m4a,209.8,212.4,Anger,Neutral
Large_audio_file.m4a,212.5,213.5,Neutral,Neutral
Large_audio_file.m4a,213.9,219.6,Neutral,Neutral
Large_audio_file.m4a,220.5,224.4,Neutral,Neutral
Large_audio_file.m4a,225.2,228.9,Anger,Neutral
Large_audio_file.m4a,229.4,236.3,Anger,Neutral
Large_audio_file.m4a,236.5,243.6,Neutral,Neutral
Large_audio_file.m4a,243.7,248.6,Neutral,Neutral
Large_audio_file.m4a,249.6,251.8,Anger,Neutral
Large_audio_file.m4a,251.9,255.1,Joy,Neutral
Large_audio_file.m4a,255.3,260.3,Joy,Neutral
Large_audio_file.m4a,260.6,261.1,Joy,Neutral
Large_audio_file.m4a,261.8,263.9,Disgust,Neutral
Large_audio_file.m4a,264.1,266.5,Anger,Neutral
Large_audio_file.m4a,266.9,269.6,Anger,Neutral
Large_audio_file.m4a,269.9,271.4,Anger,Joy
Large_audio_file.m4a,272.0,274.4,Joy,Disgust
Large_audio_file.m4a,274.8,284.0,Neutral,Neutral
Large_audio_file.m4a,285.2,289.0,Disgust,Neutral
Large_audio_file.m4a,289.3,290.0,Anger,Disgust
Large_audio_file.m4a,291.1,292.1,Joy,Neutral
Large_audio_file.m4a,292.3,294.8,Neutral,Anger
Large_audio_file.m4a,295.4,296.7,Anger,Anger
Large_audio_file.m4a,297.0,300.9,Joy,Neutral
Large_audio_file.m4a,301.1,301.4,Anger,Neutral
Large_audio_file.m4a,301.6,303.3,Neutral,Neutral
Large_audio_file.m4a,303.5,306.2,Disgust,Neutral
Large_audio_file.m4a,307.1,309.3,Anger,Joy
Large_audio_file.m4a,309.8,313.2,Neutral,Neutral
Large_audio_file.m4a,314.0,317.2,Anger,Neutral
Large_audio_file.m4a,317.5,321.1,Joy,Neutral
Large_audio_file.m4a,321.3,324.5,Anger,Neutral
Large_audio_file.m4a,324.7,327.5,Neutral,Neutral
Large_audio_file.m4a,328.1,331.6,Joy,Joy
Large_audio_file.m4a,332.3,337.1,Joy,Joy
Large_audio_file.m4a,337.3,341.1,Neutral,Disgust
Large_audio_file.m4a,341.5,342.0,Neutral,Neutral
Large_audio_file.m4a,342.2,343.8,Anger,Joy
Large_audio_file.m4a,344.0,344.6,Anger,Joy
Large_audio_file.m4a,345.1,348.4,Joy,Neutral
Large_audio_file.m4a,348.5,349.8,Joy,Joy
Large_audio_file.m4a,350.0,357.7,Neutral,Neutral
Large_audio_file.m4a,358.9,361.5,Anger,Anger
Large_audio_file.m4a,362.2,363.7,Joy,Joy
Large_audio_file.m4a,365.2,373.0,Joy,Neutral
Large_audio_file.m4a,373.2,377.3,Joy,Neutral
Large_audio_file.m4a,377.5,380.2,Anger,Neutral
Large_audio_file.m4a,380.4,383.9,Neutral,Neutral
Large_audio_file.m4a,384.0,385.4,Anger,Neutral
Large_audio_file.m4a,385.6,387.6,Neutral,Neutral
Large_audio_file.m4a,387.7,391.4,Anger,Neutral
Large_audio_file.m4a,391.6,393.2,Disgust,Error
Large_audio_file.m4a,393.7,395.0,Joy,Neutral
Large_audio_file.m4a,395.9,398.1,Disgust,Neutral
Large_audio_file.m4a,398.8,402.4,Anger,Disgust
Large_audio_file.m4a,402.6,411.9,Neutral,Anger
Large_audio_file.m4a,412.2,417.6,Anger,Joy
Large_audio_file.m4a,417.9,425.1,Neutral,Neutral
Large_audio_file.m4a,425.3,428.7,Disgust,Neutral
Large_audio_file.m4a,429.1,435.5,Neutral,Neutral
Large_audio_file.m4a,435.6,436.2,Surprise,Neutral
Large_audio_file.m4a,436.5,440.3,Anger,Disgust
Large_audio_file.m4a,440.4,443.3,Anger,Joy
Large_audio_file.m4a,443.5,445.4,Neutral,Neutral
Large_audio_file.m4a,445.6,446.8,Anger,Joy
Large_audio_file.m4a,447.0,449.3,Anger,Neutral
Large_audio_file.m4a,449.6,453.1,Disgust,Sadness
Large_audio_file.m4a,453.9,455.2,Disgust,Joy
Large_audio_file.m4a,455.9,458.0,Anger,Neutral
Large_audio_file.m4a,458.9,461.5,Anger,Anger
Large_audio_file.m4a,461.9,464.4,Anger,Neutral
Large_audio_file.m4a,464.9,469.1,Anger,Neutral
Large_audio_file.m4a,469.3,470.5,Neutral,Neutral
Large_audio_file.m4a,471.3,472.3,Anger,Neutral
Large_audio_file.m4a,473.0,477.2,Neutral,Unknown
Large_audio_file.m4a,477.5,479.5,Disgust,Neutral
Large_audio_file.m4a,479.7,481.3,Anger,Anger
Large_audio_file.m4a,481.8,488.5,Neutral,Neutral
Large_audio_file.m4a,488.7,491.1,Neutral,Kind
Large_audio_file.m4a,492.4,493.9,Anger,Joy
Large_audio_file.m4a,494.1,497.9,Anger,Neutral
Large_audio_file.m4a,498.1,500.9,Anger,Neutral
Large_audio_file.m4a,502.3,509.9,Neutral,Neutral
Large_audio_file.m4a,510.0,514.2,Neutral,Neutral
Large_audio_file.m4a,514.8,519.0,Anger,Neutral
Large_audio_file.m4a,519.2,520.7,Neutral,Neutral
Large_audio_file.m4a,522.2,522.9,Neutral,Neutral
Large_audio_file.m4a,523.1,523.6,Anger,Error
Large_audio_file.m4a,524.1,524.8,Anger,Joy
Large_audio_file.m4a,525.3,526.1,Anger,Neutral
Large_audio_file.m4a,526.8,527.2,Anger,Joy
Large_audio_file.m4a,528.0,529.5,Anger,Disgust
Large_audio_file.m4a,529.6,530.7,Joy,Joy
Large_audio_file.m4a,531.2,533.0,Anger,Neutral
Large_audio_file.m4a,533.2,537.1,Anger,Neutral
Large_audio_file.m4a,537.3,542.0,Anger,Neutral
Large_audio_file.m4a,542.1,544.1,Anger,Joy
Large_audio_file.m4a,544.2,546.6,Anger,Neutral
Large_audio_file.m4a,546.7,557.6,Neutral,Neutral
Large_audio_file.m4a,558.2,563.8,Joy,Neutral
Large_audio_file.m4a,564.0,565.0,Anger,Joy
Large_audio_file.m4a,565.4,566.1,Neutral,Joy
Large_audio_file.m4a,566.8,568.5,Anger,Anger
Large_audio_file.m4a,568.8,570.9,Anger,Neutral
Large_audio_file.m4a,572.1,580.9,Anger,Neutral
Large_audio_file.m4a,581.1,581.8,Neutral,Neutral
Large_audio_file.m4a,582.0,583.2,Anger,Neutral
Large_audio_file.m4a,583.6,587.8,Neutral,Neutral
Large_audio_file.m4a,588.3,588.7,Anger,Neutral
Large_audio_file.m4a,589.0,589.6,Neutral,Joy
Large_audio_file.m4a,589.9,596.8,Anger,Neutral
Large_audio_file.m4a,597.0,598.1,Anger,Neutral
Large_audio_file.m4a,598.8,599.6,Anger,Neutral
Large_audio_file.m4a,600.9,603.5,Joy,Joy
Large_audio_file.m4a,604.0,605.0,Anger,Neutral
Large_audio_file.m4a,605.6,608.4,Anger,Neutral
Large_audio_file.m4a,608.9,611.9,Anger,Joy
Large_audio_file.m4a,612.2,614.4,Anger,Neutral
Large_audio_file.m4a,615.4,618.4,Disgust,Neutral
Large_audio_file.m4a,619.3,623.2,Disgust,Anger
Large_audio_file.m4a,623.6,624.1,Surprise,Error
Large_audio_file.m4a,624.2,624.7,Anger,Neutral
Large_audio_file.m4a,625.6,626.4,Neutral,Neutral
Large_audio_file.m4a,627.5,628.0,Joy,Neutral
Large_audio_file.m4a,629.2,629.6,Anger,Error
Large_audio_file.m4a,630.7,634.9,Joy,Joy
Large_audio_file.m4a,635.1,639.8,Anger,Neutral
Large_audio_file.m4a,639.9,642.5,Anger,Neutral
Large_audio_file.m4a,642.7,644.1,Joy,Surprise
Large_audio_file.m4a,644.6,653.9,Neutral,Neutral
Large_audio_file.m4a,654.0,657.1,Anger,Neutral
Large_audio_file.m4a,657.7,659.1,Anger,Neutral
Large_audio_file.m4a,659.3,660.8,Anger,Neutral
Large_audio_file.m4a,661.2,663.3,Anger,Neutral
Large_audio_file.m4a,663.6,664.3,Joy,Joy
Large_audio_file.m4a,664.9,671.8,Neutral,Neutral
Large_audio_file.m4a,671.9,673.7,Anger,Neutral
Large_audio_file.m4a,674.1,677.9,Neutral,Anger
Large_audio_file.m4a,678.0,681.2,Neutral,Anger
Large_audio_file.m4a,681.5,685.1,Neutral,Neutral
Large_audio_file.m4a,685.5,686.1,Anger,Neutral
Large_audio_file.m4a,686.2,689.3,Disgust,Neutral
Large_audio_file.m4a,689.4,691.8,Neutral,Neutral
Large_audio_file.m4a,692.1,694.6,Anger,Neutral
Large_audio_file.m4a,696.2,697.4,Joy,Joy
Large_audio_file.m4a,697.5,704.9,Neutral,Anger
Large_audio_file.m4a,705.1,707.4,Anger,Neutral
Large_audio_file.m4a,708.3,713.9,Anger,Neutral
Large_audio_file.m4a,715.2,720.0,Anger,Neutral
Large_audio_file.m4a,720.3,722.0,Anger,Anger
Large_audio_file.m4a,722.0,725.5,Anger,Neutral
Large_audio_file.m4a,725.8,730.5,Anger,Neutral
Large_audio_file.m4a,730.8,731.7,Anger,Neutral
Large_audio_file.m4a,732.0,732.4,Joy,Neutral
Large_audio_file.m4a,732.5,736.6,Anger,"Nervousness is not one of the categories I detect, but the tone suggests something closer to Neutral with maybe a touch of anxiety."
Large_audio_file.m4a,736.8,737.9,Anger,Joy
Large_audio_file.m4a,738.2,742.8,Joy,Neutral
Large_audio_file.m4a,744.1,748.5,Anger,Neutral
Large_audio_file.m4a,748.6,755.7,Anger,Neutral
Large_audio_file.m4a,755.9,757.4,Anger,Anger
Large_audio_file.m4a,757.7,760.9,Neutral,Neutral
Large_audio_file.m4a,761.1,763.6,Disgust,Neutral
Large_audio_file.m4a,764.1,773.0,Anger,Neutral
Large_audio_file.m4a,773.2,776.8,Joy,Neutral
Large_audio_file.m4a,777.2,787.0,Anger,Neutral
Large_audio_file.m4a,787.8,796.1,Neutral,Neutral
Large_audio_file.m4a,796.7,800.3,Anger,Joy
Large_audio_file.m4a,800.6,805.1,Joy,Surprise
Large_audio_file.m4a,805.5,807.1,Anger,Neutral
Large_audio_file.m4a,807.3,811.7,Neutral,Neutral
Large_audio_file.m4a,812.0,814.8,Anger,Neutral
Large_audio_file.m4a,815.0,820.6,Neutral,Neutral
Large_audio_file.m4a,820.9,822.3,Anger,Neutral
Large_audio_file.m4a,822.4,822.9,Anger,Joy
Large_audio_file.m4a,823.1,831.9,Neutral,Neutral
Large_audio_file.m4a,832.4,841.0,Neutral,Neutral
Large_audio_file.m4a,841.3,841.9,Anger,Error
Large_audio_file.m4a,842.1,842.8,Neutral,Joy
Large_audio_file.m4a,842.9,847.7,Neutral,Neutral
Large_audio_file.m4a,848.2,850.5,Anger,Neutral
Large_audio_file.m4a,850.6,853.7,Neutral,Joy
Large_audio_file.m4a,854.3,855.7,Anger,Joy
Large_audio_file.m4a,855.8,856.8,Anger,Joy
Large_audio_file.m4a,856.9,857.9,Anger,Neutral
Large_audio_file.m4a,858.6,871.4,Anger,Neutral
Large_audio_file.m4a,871.7,873.7,Anger,Neutral
Large_audio_file.m4a,874.1,877.5,Anger,Surprise
Large_audio_file.m4a,877.6,879.3,Disgust,Neutral
Large_audio_file.m4a,879.4,880.4,Anger,Joy
Large_audio_file.m4a,880.9,882.8,Disgust,Neutral
Large_audio_file.m4a,883.9,886.0,Anger,Neutral
Large_audio_file.m4a,887.6,889.2,Anger,Neutral
Large_audio_file.m4a,890.7,895.3,Anger,Neutral
Large_audio_file.m4a,895.5,896.1,Neutral,Joy
Large_audio_file.m4a,896.6,902.7,Anger,Neutral
Large_audio_file.m4a,902.8,904.5,Surprise,Neutral
Large_audio_file.m4a,905.1,905.7,Anger,Joy
Large_audio_file.m4a,906.2,908.7,Neutral,Neutral
Large_audio_file.m4a,909.5,911.5,Neutral,Anger
Large_audio_file.m4a,912.7,922.8,Neutral,Neutral
Large_audio_file.m4a,923.0,924.2,Anger,Disgust
Large_audio_file.m4a,924.3,925.6,Joy,Neutral
Large_audio_file.m4a,926.3,926.9,Anger,Neutral
Large_audio_file.m4a,927.6,928.3,Joy,Neutral
Large_audio_file.m4a,928.5,929.6,Anger,Joy
Large_audio_file.m4a,930.3,931.4,Joy,Neutral
Large_audio_file.m4a,932.9,935.8,Disgust,Neutral
Large_audio_file.m4a,936.4,938.3,Neutral,Neutral
Large_audio_file.m4a,938.8,941.6,Anger,Joy
Large_audio_file.m4a,941.9,944.2,Neutral,Joy
Large_audio_file.m4a,944.6,947.1,Anger,Joy
Large_audio_file.m4a,947.3,949.3,Neutral,Neutral
Large_audio_file.m4a,950.0,952.0,Anger,Neutral
Large_audio_file.m4a,952.2,957.4,Neutral,Neutral
Large_audio_file.m4a,957.7,960.5,Anger,Joy
Large_audio_file.m4a,960.9,962.0,Neutral,Neutral
Large_audio_file.m4a,962.4,962.8,Anger,Joy
Large_audio_file.m4a,963.1,969.0,Anger,Neutral
Large_audio_file.m4a,969.1,972.7,Disgust,Neutral
Large_audio_file.m4a,973.1,977.2,Anger,Neutral
Large_audio_file.m4a,977.3,979.5,Disgust,Joy
Large_audio_file.m4a,979.7,984.9,Neutral,Neutral
Large_audio_file.m4a,985.2,989.9,Anger,Neutral
Large_audio_file.m4a,990.2,992.4,Anger,Neutral
Large_audio_file.m4a,992.6,993.3,Anger,Neutral
Large_audio_file.m4a,993.9,1001.3,Neutral,Neutral
Large_audio_file.m4a,1002.0,1008.3,Anger,Anger
Large_audio_file.m4a,1008.9,1014.3,Joy,Neutral
Large_audio_file.m4a,1014.5,1016.0,Neutral,Neutral
Large_audio_file.m4a,1016.5,1019.0,Joy,Joy
Large_audio_file.m4a,1019.3,1021.3,Anger,Neutral
Large_audio_file.m4a,1021.5,1022.1,Neutral,Neutral
Large_audio_file.m4a,1022.3,1025.4,Neutral,Joy
Large_audio_file.m4a,1025.6,1026.3,Anger,Joy
Large_audio_file.m4a,1026.8,1031.1,Neutral,Neutral
Large_audio_file.m4a,1031.9,1033.5,Joy,Neutral
Large_audio_file.m4a,1033.6,1040.0,Neutral,Anger
Large_audio_file.m4a,1040.2,1048.2,Neutral,Neutral
Large_audio_file.m4a,1048.4,1052.1,Neutral,Neutral
Large_audio_file.m4a,1052.5,1056.1,Anger,Neutral
Large_audio_file.m4a,1056.6,1063.1,Neutral,Neutral
Large_audio_file.m4a,1063.3,1065.2,Neutral,Neutral
Large_audio_file.m4a,1066.3,1068.6,Anger,Joy
Large_audio_file.m4a,1069.2,1079.0,Neutral,Neutral
Large_audio_file.m4a,1079.1,1081.2,Neutral,Neutral
Large_audio_file.m4a,1081.4,1083.6,Anger,Joy
Large_audio_file.m4a,1083.9,1087.6,Anger,Neutral
Large_audio_file.m4a,1087.9,1094.9,Neutral,Neutral
Large_audio_file.m4a,1095.0,1101.6,Neutral,Neutral
Large_audio_file.m4a,1101.9,1106.9,Anger,Neutral
Large_audio_file.m4a,1107.2,1108.8,Joy,Joy
Large_audio_file.m4a,1109.1,1111.7,Disgust,Neutral
Large_audio_file.m4a,1112.4,1113.3,Anger,Error
Large_audio_file.m4a,1113.4,1117.9,Neutral,Neutral
Large_audio_file.m4a,1118.0,1126.4,Anger,Neutral
Large_audio_file.m4a,1126.6,1133.4,Anger,Neutral
Large_audio_file.m4a,1133.6,1134.8,Joy,Neutral
Large_audio_file.m4a,1134.9,1136.1,Anger,Neutral
Large_audio_file.m4a,1136.6,1140.5,Joy,Neutral
Large_audio_file.m4a,1140.9,1151.3,Anger,Neutral
Large_audio_file.m4a,1151.6,1160.9,Neutral,Unknown
Large_audio_file.m4a,1161.1,1162.3,Anger,Joy
Large_audio_file.m4a,1163.4,1164.2,Joy,Neutral
Large_audio_file.m4a,1164.3,1167.1,Disgust,Joy
Large_audio_file.m4a,1167.4,1168.4,Joy,Neutral
Large_audio_file.m4a,1168.9,1171.4,Anger,Neutral
Large_audio_file.m4a,1171.8,1174.5,Neutral,Neutral
Large_audio_file.m4a,1174.6,1175.3,Anger,Neutral
Large_audio_file.m4a,1175.4,1176.9,Anger,Surprise
Large_audio_file.m4a,1177.3,1182.9,Anger,Neutral
Large_audio_file.m4a,1183.2,1186.2,Anger,Neutral
Large_audio_file.m4a,1186.7,1191.3,Anger,Unknown
Large_audio_file.m4a,1191.9,1194.8,Anger,Neutral
Large_audio_file.m4a,1195.2,1196.3,Neutral,Neutral
Large_audio_file.m4a,1196.8,1199.7,Anger,Neutral
Large_audio_file.m4a,1200.0,1203.6,Neutral,Neutral
Large_audio_file.m4a,1203.7,1206.6,Anger,Joy
Large_audio_file.m4a,1206.8,1208.3,Anger,Neutral
Large_audio_file.m4a,1208.5,1213.7,Anger,Neutral
Large_audio_file.m4a,1214.0,1215.5,Anger,Anger
Large_audio_file.m4a,1216.1,1217.3,Neutral,Neutral
Large_audio_file.m4a,1217.6,1223.6,Neutral,Neutral
Large_audio_file.m4a,1223.7,1224.9,Anger,Neutral
Large_audio_file.m4a,1225.0,1226.4,Anger,Joy
Large_audio_file.m4a,1226.5,1228.2,Anger,Disgust
Large_audio_file.m4a,1228.4,1229.8,Neutral,Joy
Large_audio_file.m4a,1230.3,1233.0,Anger,Joy
Large_audio_file.m4a,1233.4,1237.6,Anger,Neutral
Large_audio_file.m4a,1237.7,1239.9,Joy,Neutral
Large_audio_file.m4a,1240.0,1243.3,Neutral,Neutral
Large_audio_file.m4a,1243.4,1244.1,Anger,Neutral
Large_audio_file.m4a,1244.8,1249.0,Joy,Neutral
Large_audio_file.m4a,1250.0,1252.4,Anger,Joy
Large_audio_file.m4a,1252.5,1257.1,Joy,Surprise
Large_audio_file.m4a,1257.2,1258.3,Anger,Joy
Large_audio_file.m4a,1258.7,1259.5,Anger,Anger
Large_audio_file.m4a,1259.8,1261.6,Joy,Neutral
Large_audio_file.m4a,1262.2,1265.1,Anger,Neutral
Large_audio_file.m4a,1265.4,1268.7,Anger,Neutral
Large_audio_file.m4a,1269.2,1269.7,Anger,Neutral
Large_audio_file.m4a,1270.2,1273.0,Neutral,Neutral
Large_audio_file.m4a,1273.3,1279.1,Disgust,Neutral
Large_audio_file.m4a,1279.7,1280.1,Anger,Neutral
Large_audio_file.m4a,1280.6,1281.9,Anger,Neutral
Large_audio_file.m4a,1282.1,1283.5,Anger,Neutral
Large_audio_file.m4a,1283.8,1286.3,Anger,Neutral
Large_audio_file.m4a,1286.7,1289.5,Surprise,Neutral
Large_audio_file.m4a,1290.2,1293.0,Anger,Anger
Large_audio_file.m4a,1293.8,1297.2,Anger,Joy
Large_audio_file.m4a,1297.6,1298.6,Anger,Surprise
Large_audio_file.m4a,1298.8,1299.1,Neutral,Error
Large_audio_file.m4a,1299.3,1302.9,Anger,Error
Large_audio_file.m4a,1303.9,1304.9,Anger,Neutral
Large_audio_file.m4a,1305.4,1309.2,Anger,Joy
Large_audio_file.m4a,1309.3,1322.8,Neutral,Neutral
Large_audio_file.m4a,1322.9,1323.4,Anger,Neutral
Large_audio_file.m4a,1323.5,1327.6,Anger,Neutral
Large_audio_file.m4a,1327.7,1331.2,Joy,Neutral
Large_audio_file.m4a,1331.5,1334.0,Anger,Neutral
Large_audio_file.m4a,1334.8,1337.1,Disgust,Neutral
Large_audio_file.m4a,1337.6,1338.2,Surprise,Joy
Large_audio_file.m4a,1339.1,1343.4,Anger,Neutral
Large_audio_file.m4a,1343.6,1347.0,Anger,Neutral
Large_audio_file.m4a,1347.4,1349.9,Anger,Neutral
Large_audio_file.m4a,1350.5,1353.5,Anger,Neutral
Large_audio_file.m4a,1354.0,1354.5,Joy,Neutral
Large_audio_file.m4a,1354.7,1355.5,Anger,Neutral
Large_audio_file.m4a,1356.5,1358.8,Anger,Neutral
Large_audio_file.m4a,1358.9,1359.4,Anger,Joy
Large_audio_file.m4a,1359.8,1362.7,Neutral,Neutral
Large_audio_file.m4a,1363.1,1363.7,Anger,Error
Large_audio_file.m4a,1365.1,1371.2,Joy,Neutral
Large_audio_file.m4a,1371.4,1373.0,Neutral,Anger
Large_audio_file.m4a,1373.1,1378.0,Neutral,Neutral
Large_audio_file.m4a,1378.1,1378.9,Neutral,Neutral
Large_audio_file.m4a,1379.1,1380.7,Disgust,Joy
Large_audio_file.m4a,1381.2,1384.3,Neutral,Neutral
Large_audio_file.m4a,1384.6,1385.3,Neutral,Error
Large_audio_file.m4a,1385.7,1386.4,Anger,Kind
Large_audio_file.m4a,1387.7,1392.6,Neutral,Neutral
Large_audio_file.m4a,1393.7,1395.5,Anger,Neutral
Large_audio_file.m4a,1396.1,1399.1,Neutral,Neutral
Large_audio_file.m4a,1400.0,1403.0,Joy,Neutral
Large_audio_file.m4a,1403.4,1408.0,Neutral,Neutral
Large_audio_file.m4a,1408.2,1416.9,Neutral,Neutral
Large_audio_file.m4a,1417.2,1421.6,Neutral,Neutral
Large_audio_file.m4a,1421.9,1422.6,Anger,Neutral
Large_audio_file.m4a,1422.8,1425.5,Joy,Joy
Large_audio_file.m4a,1425.9,1430.2,Anger,Neutral
Large_audio_file.m4a,1430.6,1432.9,Anger,Surprise
Large_audio_file.m4a,1433.3,1434.2,Anger,Neutral
Large_audio_file.m4a,1434.8,1438.8,Joy,Neutral
Large_audio_file.m4a,1439.3,1448.0,Neutral,Neutral
Large_audio_file.m4a,1448.2,1449.6,Joy,Joy
Large_audio_file.m4a,1450.0,1451.7,Anger,Neutral
Large_audio_file.m4a,1452.1,1454.5,Anger,Neutral
Large_audio_file.m4a,1454.6,1455.3,Anger,Surprise
Large_audio_file.m4a,1455.7,1456.6,Joy,Anger
Large_audio_file.m4a,1456.8,1459.4,Anger,Neutral
Large_audio_file.m4a,1459.9,1463.5,Neutral,Anger
Large_audio_file.m4a,1463.8,1467.7,Neutral,Neutral
Large_audio_file.m4a,1467.9,1469.3,Surprise,Surprise
Large_audio_file.m4a,1469.8,1474.9,Anger,Neutral
Large_audio_file.m4a,1475.8,1478.3,Anger,Joy
Large_audio_file.m4a,1479.1,1486.4,Neutral,Surprise
Large_audio_file.m4a,1486.8,1487.6,Anger,Joy
Large_audio_file.m4a,1487.7,1488.5,Anger,Joy
Large_audio_file.m4a,1488.7,1490.4,Anger,Neutral
Large_audio_file.m4a,1490.6,1491.1,Surprise,Neutral
Large_audio_file.m4a,1491.6,1496.8,Joy,Neutral
Large_audio_file.m4a,1497.5,1498.5,Anger,Joy
Large_audio_file.m4a,1498.7,1509.2,Neutral,Joy
Large_audio_file.m4a,1509.5,1511.6,Anger,Anger
Large_audio_file.m4a,1512.4,1514.0,Anger,Joy
Large_audio_file.m4a,1514.4,1516.7,Anger,Joy
Large_audio_file.m4a,1517.6,1521.7,Neutral,Neutral
Large_audio_file.m4a,1522.1,1527.0,Neutral,Neutral
Large_audio_file.m4a,1527.7,1529.0,Anger,Neutral
Large_audio_file.m4a,1529.1,1529.8,Anger,Joy
Large_audio_file.m4a,1529.9,1530.9,Anger,Joy
Large_audio_file.m4a,1531.2,1532.0,Surprise,Joy
Large_audio_file.m4a,1532.4,1537.5,Anger,Joy
Large_audio_file.m4a,1537.7,1540.9,Neutral,Joy
Large_audio_file.m4a,1541.1,1541.7,Anger,Error
Large_audio_file.m4a,1542.2,1548.0,Anger,Neutral
Large_audio_file.m4a,1548.2,1553.8,Neutral,Joy
Large_audio_file.m4a,1553.9,1557.6,Neutral,Joy
Large_audio_file.m4a,1557.8,1558.5,Anger,Error
Large_audio_file.m4a,1558.8,1559.5,Anger,Neutral
Large_audio_file.m4a,1559.7,1561.5,Anger,Neutral
Large_audio_file.m4a,1561.8,1573.5,Neutral,Neutral
Large_audio_file.m4a,1573.6,1574.9,Anger,Anger
Large_audio_file.m4a,1575.2,1576.9,Anger,Joy
Large_audio_file.m4a,1577.5,1579.5,Anger,Neutral
Large_audio_file.m4a,1579.7,1586.3,Neutral,Neutral
Large_audio_file.m4a,1588.0,1594.0,Neutral,Neutral
Large_audio_file.m4a,1594.1,1600.1,Anger,Unknown
Large_audio_file.m4a,1600.2,1608.0,Anger,Anger
Large_audio_file.m4a,1608.7,1626.8,Neutral,Joy
Large_audio_file.m4a,1627.2,1629.1,Neutral,Anger
Large_audio_file.m4a,1629.4,1630.2,Neutral,Neutral
Large_audio_file.m4a,1630.5,1631.0,Joy,Neutral
Large_audio_file.m4a,1631.1,1632.9,Neutral,Neutral
Large_audio_file.m4a,1633.2,1634.1,Joy,Neutral
Large_audio_file.m4a,1634.4,1637.9,Joy,Neutral
Large_audio_file.m4a,1638.1,1644.9,Neutral,Neutral
Large_audio_file.m4a,1645.0,1651.6,Neutral,Neutral
